max_channels,call_max_duration,max_interval,change_chance,drop_chance,calls_dropped
50,20,5,0.4,0.4,72.0
50,20,20,0,0,22.0
50,20,20,0,0.2,15.0
50,20,20,0,0.4,16.0
50,20,20,0.2,0,16.0
50,20,20,0.2,0.2,12.0
50,20,20,0.2,0.4,15.0
50,20,20,0.4,0,17.0
50,20,20,0.4,0.2,19.0
50,20,20,0.4,0.4,15.0
